calibration_id,system,customer_message,generated_reply,human_relevance,human_groundedness,human_helpfulness,human_tone,human_completeness,human_overall,notes
17,main,@515539 @115858 needs to figure this shit out cause it’s pissing me off,@515539 Hi! I’m sorry you’re frustrated. Let’s sort this out together—please DM me so I can help you troubleshoot right away. We’re here to get you back on track!,,,,,,,
18,main,@AppleSupport what the fuck is up with this&gt; I️,@customer Thanks for reaching out. Let’s get this sorted—please DM us with more details so we can help you quickly. ^XX,,,,,,,
19,main,@AppleSupport 11.0.3,@AppleSupport 11.0.3 Thanks for the info! Let’s look into this together. Please DM us so we can help you further. https://t.co/GDrqU22YpT ^XX,,,,,,,
20,main,My Mac restarted and deleted the 8 pages of homework I was working on so I'm just gonna make a plan to systematically destroy @115858 now,"@customer We’re sorry to hear about the loss. First, check Time Machine or any backup you may have. If not, try “Reopen Recent” or “Undo” in the app you were using. If you need more help, DM us so we can assist privately. ^AS",,,,,,,
21,main,@115858 how do i reverse my update cah this is hella shit,"@115858 Hi! If you want to undo the latest update, you can restore your device from a backup made before the update. Start by going to Settings > General > Transfer or Reset iPhone > Erase All Content & Settings, then set up from that backup. If you need help, DM us.",,,,,,,
22,main,@AppleSupport iOS 10.3.1,"@customer Let’s get your device up to date. Go to Settings > General > Software Update. If it still shows 10.3.1, try restarting your iPhone, then check again. For a deeper look, DM us: https://t.co/GDrqU22YpT ^AA",,,,,,,
23,main,@AppleSupport Why is this suddenly appearing in my text box??? https://t.co/yWKdUkkSQw,@customer We’re sorry for the inconvenience. Which iPhone model and iOS version are you using? This will help us troubleshoot the unexpected text‑box icon. Feel free to DM us for a quick fix. ^AS,,,,,,,
24,main,@AppleSupport Hm? 🤔 https://t.co/jM9oqsqgU9,@customer Thanks for reaching out. We’d love to help. Please DM us so we can look into this together. https://t.co/GDrqU22YpT ^XX,,,,,,,
25,main,@AppleSupport Thank you!!,@customer You're welcome! ^AS,,,,,,,
26,main,@AppleSupport Yes I do,@customer Thanks for confirming! Please DM us your device model and iOS version so we can help you further. ^XX,,,,,,,
27,main,@AppleSupport FIX MY FUCKING I BUTTON I️ I️ I️,"@customer We’re sorry you’re experiencing this. Please update to the latest iOS version (Settings → General → Software Update). If the issue persists, back up your device first: https://t.co/4f8hwT5to6. DM us for further help. ^AS",,,,,,,
28,main,Every time I try to verify my @115948 student membership it wont let me because I haven’t gotten an email. Suggestions?? @AppleSupport,"@customer We’re sorry you’re not receiving the verification email. First, check your spam/junk folder and any filters that might block Apple. If it’s still missing, please DM us so we can verify your account and resend the link. ^AS",,,,,,,
29,main,"@115858 i’m really fuckin tired of the games, fix this shit NOW",@115858 We’re sorry you’re having trouble. Please DM us so we can help you resolve this issue. ^AA,,,,,,,
30,main,@115858 @AppleSupport since updating to 11.0.3 I have needed to charge my phone twice a day. Is this related ? Any help or options to fix?,@115858 We’re sorry to hear that. Battery drain after an update can happen. Please DM us your iPhone model and iOS version so we can check for known issues and give you a fix. https://t.co/GDrqU22YpT ^AA,,,,,,,
31,main,@115858 NEVER IN MY ENTIRE GODDAMN LIFE HAVE I️ BEEN TRYING TO SAY A ? INSTEAD OF “I️” PLEASE GET YOUR SHIT TOGETHER I️ CANNOT LIVE LIKE THIS https://t.co/0XPUx2S7lp,"@115858 It sounds like a keyboard layout issue. Try resetting the keyboard: Settings → General → Keyboard → Reset Keyboard Dictionary. If that doesn’t help, let’s dig deeper—DM us your iOS version and any recent changes. We’re here to help!",,,,,,,
32,main,@115858 this new update is fucking killing me! When’s my shit gonna work?,"@115858 We’re sorry to hear this update is causing trouble. DM us the iPhone model, iOS version, and what’s not working so we can help you get it resolved. https://t.co/GDrqU22YpT ^AS",,,,,,,
33,main,@AppleSupport Multiple,@customer Thanks for reaching out. Could you share the iOS version and any recent changes? Let’s troubleshoot together—DM us here: https://t.co/GDrqU22YpT ^AS,,,,,,,
34,main,Hey @AppleSupport I’m sending you screen shots of every screwed up autocorrect. It’s been terrible since the last update.,@customer We’re sorry about the autocorrect glitches. Let’s get this sorted. Please DM us with the screenshots and the iOS version you’re on so we can investigate further. https://t.co/GDrqU22YpT ^AS,,,,,,,
35,main,@AppleSupport 10.3.3,"@customer 10.3.3? Check your iOS version in Settings > General > About. If it’s not the latest, go to Settings > General > Software Update to install the newest release. Need more help? DM us for a quick walkthrough. ^AS",,,,,,,
36,main,"@AppleSupport @115858 See, it did it again!","@115858 We’re sorry to hear this happened again. Could you let us know what’s occurring? For a quick resolution, DM us so we can look into it personally. ^AS",,,,,,,
37,main,@AppleSupport is this happening to anyone? Like the notification it’s out of setting https://t.co/J0Qbdc7Mz1,"@customer Thanks for reaching out. We’re aware of the notification issue. In the meantime, try this workaround: https://t.co/xXaXeeSRt9. If it doesn’t help, DM us for a more personalized fix. ^XX",,,,,,,
38,main,"@115858  @AppleSupport music and podcast “skip” around like a CD, then distorts and clears up in few seconds, only happens after iOS 11","@115858 It sounds like a playback glitch that can happen after an iOS update. Try restarting your device, then delete and re‑add the affected songs. If the issue persists, let us know via DM so we can dig deeper. ^XX",,,,,,,
39,main,The IOS has fully fucked up my phone. Cheers @AppleSupport,@customer We’re sorry to hear iOS isn’t working right. Can you share the specific issues you’re experiencing? Feel free to DM us for a quick resolution. https://t.co/GDrqU22YpT ^AS,,,,,,,
40,main,"Do the fingerprint readers on iphones just all of a sudden stop reading right? Already had a defective antenna, now home button is being buggy in under a year of having it..... I love apple but holy shit I'm getting fed up. @AppleSupport",@customer We’re sorry to hear about the fingerprint reader and Home button issues. Let’s get this sorted—please DM us with your device details so we can help you quickly. https://t.co/GDrqU22YpT ^AS,,,,,,,
