example_id,customer_message,brand_reply,difficulty,gold_intent,gold_should_escalate,gold_escalation_reason,gold_reply_quality,labelling_notes,annotation_status
27,@AppleSupport  https://t.co/qoZItuDQLE,@169780 The following link can help with deactivating Low Power Mode. https://t.co/VL4rj2Mts7 If you have any questions send us a DM. https://t.co/GDrqU22YpT,hard_short,general_inquiry_features,true,ambiguity_clarification,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
28,@115858 NEVER IN MY ENTIRE GODDAMN LIFE HAVE I️ BEEN TRYING TO SAY A ? INSTEAD OF “I️” PLEASE GET YOUR SHIT TOGETHER I️ CANNOT LIVE LIKE THIS https://t.co/0XPUx2S7lp,@502404 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,edge_case,complaint_and_frustration,true,profanity_or_abuse,5,Customer venting dissatisfaction/frustration | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
29,@AppleSupport is this happening to anyone? Like the notification it’s out of setting https://t.co/J0Qbdc7Mz1,@819568 Thanks for reaching out to us. Let's work together to resolve this. We'll gather some details to help isolate the cause of this issue. Which iOS version do you have? When did this issue start?,standard,general_inquiry_features,false,,2,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
30,@AppleSupport My name is razz chakroborty (+91 705308855) i was using a apple i phone 6S. Yesterday 5.15 to 5.30 pm i lost my Phone so need your Support to find my phone my apple id is __email__ emi id is __credit_card__.i done the FIR. Plz help ME.,@285608 We are here to help. DM us your current country and we can take a look at this. https://t.co/GDrqU22YpT,hard_complex,apple_id_and_icloud,false,,4,Account security/iCloud/credential inquiry | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
31,@115858 cc @applesupport,@434933 We have received your DM and will continue from there.,hard_short,general_inquiry_features,true,ambiguity_clarification,3,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
32,"@AppleSupport @115858 See, it did it again!",@732345 We have some great news. We've recently released an update which should address the autocorrect issue. You can read more here: https://t.co/xXaXefaskH,standard,general_inquiry_features,false,,5,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
33,lmk @AppleSupport https://t.co/XhPks6CQi2,@442665 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,hard_short,general_inquiry_features,true,ambiguity_clarification,5,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
34,@AppleSupport I’m currently outside your store in Solihull. Wasted journey due to misinformation. I’m not happy.,"@432278 That’s not what we want for you. DM us some details on your experience, and we’ll see how we can help. https://t.co/GDrqU22YpT",standard,store_orders_and_repairs,false,,4,"Retail store, order tracking, or physical repair | heuristic pre-label from scripts/label_golden_set.py",human_reviewed
35,"my notifications bar keeps showing me my emails from last week even when I clear it up , @115858 fix it","@613066 We're here to help. Which version of iOS are you currently running? Let us know via DM.

https://t.co/ZTw54HttsM https://t.co/GDrqU2kzhr",standard,general_inquiry_features,false,,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
36,"Why the hell is IPhone changing “I️” to a question mark?? 
@115858 get your sh*t together this is annoying",@272792 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,hard_complex,general_inquiry_features,false,,5,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
37,"Hey guys, hey @115858, I just blew $35 on this 2 m charging cord. Last week. This is the third time. If you are going to charge me $35 plus shipping for a charger for my $1,000 phone, can you maybe. Not. Produce. Garbage. So I can continue to be a dedicated customer maybe? 🙄",@698213 We'd like to know more to assist. Is there any damage present on the cord at this time? Let us know in a DM and we'll take a look at your options. https://t.co/GDrqU22YpT,hard_complex,battery_and_charging,false,,4,Battery/charging/power related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
38,@AppleSupport I cannot update apps because it’s still connected to my brother’s Apple ID even tho it’s my e-mail on the Apple ID. I’ve tried to sign out and log back but still no luck. How do I delete his and resolve this?,"@622694 We're happy to look into this with you. If you have apps tied to another Apple ID, delete them, and download again under your own ID. Please DM with details of the error message you're getting, if you need further assistqance. https://t.co/GDrqU22YpT",hard_complex,apple_id_and_icloud,false,,4,Account security/iCloud/credential inquiry | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
39,@115858 you need to fix this  -&gt; I️ got me lookin crazy when texting,@532919 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,standard,general_inquiry_features,false,,5,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
40,@AppleSupport The latest one 11.0.1,@167300 We recently released iOS 11.0.2. Let's create a backup and update to see if this helps. https://t.co/8xihd9VRBM,hard_short,general_inquiry_features,false,,5,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
41,Hey @115858 fix your software I have to restart my phone 50x a day cause it’s constantly freezing. Wtf!?,@488649 Restarting is not what you expect to do frequently. Send us a DM telling us the iPhone you have and the iOS version number. https://t.co/GDrqU22YpT,edge_case,device_performance_freeze,true,profanity_or_abuse,5,"System performance, crash, or freeze issue | heuristic pre-label from scripts/label_golden_set.py",human_reviewed
42,"@AppleSupport @124871 quick question: may i get the student discount at the apple store? if so, do i show my school id? also if o order online may i get it shipped to the store and pick it up the same day as ordering? I've never done anything like this before...","@481518 We'll get you pointed in the right direction. For help with making purchases, connect with our Apple Online Store Support team here: https://t.co/8yjRd1Xo0i",hard_complex,store_orders_and_repairs,false,,4,"Retail store, order tracking, or physical repair | heuristic pre-label from scripts/label_golden_set.py",human_reviewed
43,@AppleSupport  https://t.co/Zv4JvOMLod,@173648 Do you have another Wi-Fi network you can try? What happens if you switch to cellular data?,hard_short,general_inquiry_features,true,ambiguity_clarification,2,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
44,"@AppleSupport Next chance I get to backup my phone using #iTunes I will do just that. Still, it’s a touch screen with no buttons. Very disconcerting that it would suddenly become almost completely without response.",@756671 Let us know how things go after updating and we'll go from there.,hard_complex,hardware_and_audio,false,,2,"Physical hardware, screen, or audio problem | heuristic pre-label from scripts/label_golden_set.py",human_reviewed
45,@AppleSupport apple phones literally sucks none of the apps are working fine . Can you call me to discuss this  asap pls.,"@399019 Let us know via DM in detail what is occurring, then we can definitely look in to it with you from there. https://t.co/GDrqU22YpT",standard,complaint_and_frustration,false,,4,Customer venting dissatisfaction/frustration | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
46,@AppleSupport Thank you,@174416 You're welcome.,hard_short,general_inquiry_features,true,ambiguity_clarification,2,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
47,Why are my “I️”s showing up as question marks @115858 ?? Please fix or I’m suing 😂,@595375 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,hard_complex,general_inquiry_features,false,,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
48,@116333 and everyone over there at @115858 could have kept this buggy iPhone update. Got my phone freezing like it’s an Android https://t.co/I5T9YCZftC,@197311 We want to see how we can help. Send us a DM with some more details of what's going on and we'll get started. https://t.co/GDrqU22YpT,standard,software_update_os,true,legal_threat,4,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
49,@AppleSupport Makes no difference even if i use a microphone. I dont think there is any problem with the mic. Something is there with siri itself. I read abt this on net.. there are many ppl which are facing the same problem aftr they updated to macOS high sierra 10.13.1 https://t.co/jWQT7oAPgv,@814274 Let's see if the issue persist after resetting your NVRAM. This step is great when experiencing sound related issues. Here's how: https://t.co/sf0JEbUJVS,hard_complex,software_update_os,false,,4,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
50,So my I️ works on twitter but nothing else? @AppleSupport a little help please. My clients think I️ can’t spell. #bringbackthei,@473938 Thanks for contacting us. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,standard,general_inquiry_features,false,,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
51,@115858 @AppleSupport CAN YALL PLEASE THIS SHIT WITH THE I️ THING BRUH,@506512 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,edge_case,complaint_and_frustration,true,profanity_or_abuse,5,Customer venting dissatisfaction/frustration | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
52,My phone keeps freezing @115858 @AppleSupport wth?????,@225259 Having your iPhone working great is our goal and we're happy to help. What's the iOS version currently installed? This is located in Settings &gt; General &gt; About. Do you notice the iPhone becomes unresponsive when certain apps are in use?,hard_complex,device_performance_freeze,false,,4,"System performance, crash, or freeze issue | heuristic pre-label from scripts/label_golden_set.py",human_reviewed
53,@AppleSupport It says that I have gotten an email from Apple I clicked on the attachment but have down nothing else. How do I know if it’s genuine please. It’s said to verify my apple account. Should I delete the email? It also says somebody tried to by airpods from Russia,@151406 We're glad you reached out. This article will help you identify and report phishing emails: https://t.co/yGvlh3cZ5Y,hard_complex,general_inquiry_features,false,,5,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
54,@115858 can you please fix this battery issue with iOS 11 because this i just watched my phone go from 66% to 49% in he span of 12 mins,@520252 We'd love to help with any battery issues you're seeing. Let us know if this information helps: https://t.co/TpjqFp3jxD,standard,battery_and_charging,true,legal_threat,4,Battery/charging/power related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
55,As much as I love @115858 I’m about to switch... my @118721 account has been hacked for MONTHS!! I’m so pissed. So much money stolen.,"@156466 Hi Destinee, we know how important account security is and we'd like to help. DM us and we'll get started there. https://t.co/GDrqU22YpT",standard,billing_and_subscriptions,true,profanity_or_abuse,4,Financial/payment/subscription keyword detected | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
56,"@AppleSupport every time I use contactless since the update my phone freezes, why?!?!",@402603 We'd like to help! Send us a DM with the country that you are located in to continue. https://t.co/GDrqU22YpT,hard_complex,software_update_os,false,,4,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
57,"@AppleSupport since yesterdays update, my phone is dying of glitches and constantly freezing...",@303114 We want to help. Please DM us which iPhone model you are using to continue. https://t.co/GDrqU22YpT,standard,software_update_os,false,,4,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
58,@115858 this new update is fucking killing me! When’s my shit gonna work?,"@753215 Hey, we want to learn more about what's going on. DM us some details and we'll sort this out together. https://t.co/GDrqU22YpT",edge_case,software_update_os,true,profanity_or_abuse,4,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
59,@AppleSupport None of them worked.,@274051 DM us the country you're located in and we can look into some additional options. https://t.co/GDrqU22YpT,hard_short,general_inquiry_features,false,,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
60,@AppleSupport Pretty sure everyone is experiencing this... this can’t be the first you’re hearing.,@142822 We do want to help you. Send us a DM and let us know what's happening with your calculator specifically. https://t.co/GDrqU22YpT,standard,general_inquiry_features,false,,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
61,is this happening to anyone else? Changing “i” to A with a square thingy ??? help?? @115858 @AppleSupport https://t.co/gppyicjGaP,@592502 We would like to offer some guidance with this.  Please send us a DM and let us know which version of iOS you have. Thanks. https://t.co/GDrqU22YpT,hard_complex,general_inquiry_features,false,,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
62,@AppleSupport Yes. Resolved. Turns out it was a glitch afterall. Thanks,@710057 You're very welcome. Feel free to reach out to us if you need anything in the future.,standard,general_inquiry_features,false,,2,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
63,"These questions marks are fucking up my vibe, get your shit together @AppleSupport",@627213 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,edge_case,complaint_and_frustration,true,profanity_or_abuse,5,Customer venting dissatisfaction/frustration | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
64,@115858  get ur shit together im tired of seeing all my pos have these ? Marks https://t.co/sPtwzvQiYp,"@692982 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",edge_case,complaint_and_frustration,true,profanity_or_abuse,4,Customer venting dissatisfaction/frustration | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
65,"@115858  @AppleSupport music and podcast “skip” around like a CD, then distorts and clears up in few seconds, only happens after iOS 11","@118095 We're here to help. Did this happen after a specific update, or just recently? Thanks!",standard,software_update_os,false,,4,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
66,"@AppleSupport Yes, Wi-Fi.","@776000 OK, thank you. Does the download seem to be progressing? Let's give it a bit more time to finish.",hard_short,connectivity_and_network,false,,2,Wireless/network connectivity issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
67,@AppleSupport see above,"@215820 We're happy to help with this. Take a look here for steps to resolve this: https://t.co/Wc5MHFZb0p Join us in DM if the issue remains, or you have any questions. https://t.co/GDrqU22YpT",hard_short,general_inquiry_features,true,ambiguity_clarification,5,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
68,@AppleSupport Thanks homies,@780800 That's great news! Reach back out if you need us in the future.,hard_short,general_inquiry_features,true,ambiguity_clarification,2,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
69,@AppleSupport iPadPro (11.0.2) and iPhone 6+ (11.0.1).  The message appears when try tap Google Drive in the Files App,@209786 Thank you! Do you have Restrictions enabled in either of those? This shows where the setting is: https://t.co/eiyAtwvrU1,standard,general_inquiry_features,false,,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
70,@AppleSupport Why is this suddenly appearing in my text box??? https://t.co/yWKdUkkSQw,@517297 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/tqme2m68En,hard_complex,general_inquiry_features,false,,5,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
71,@AppleSupport 11.0.2,@297769 Thanks for following up. Send us a DM so we can look into this with you there. https://t.co/GDrqU22YpT,hard_short,general_inquiry_features,true,ambiguity_clarification,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
72,@AppleSupport 10.3.3,@640018 Which model of iPad do you have? We'll see what we can do to assist.,hard_short,general_inquiry_features,true,ambiguity_clarification,2,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
73,Hey @AppleSupport can you PLEASE stop turning on my WiFi after i’ve turned it off 6 times!!!!!!,@472369 We made some changes to the way Wi-Fi works in Control Center. This article has the details: https://t.co/JxDWijvIa0,standard,connectivity_and_network,false,,5,Wireless/network connectivity issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
74,"@115858, fix this. I️ &lt;——","@176065 Let’s figure this out. To help get us on the best path, can you give up a bit more detail about the issue you’re noticing.",hard_short,general_inquiry_features,false,,2,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
75,Please @115858 refund me for my iPhone shit sucks freezing and lag more then my galaxy s5 😐 can’t wait to go back to android,"@766373 You're in the right place for help. Getting the performance that is expected from your iPhone is very important to us. We'll do all we can to help with resolving this issue. To help guide us through troubleshooting, may we have the iOS version currently on the iPhone?",edge_case,billing_and_subscriptions,true,profanity_or_abuse,2,Financial/payment/subscription keyword detected | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
76,@AppleSupport Yes I do,@440832 We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT,hard_short,general_inquiry_features,false,,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
77,Ios güncellemesinden sonra sürekli telefon titremeye başladı menüde bişeye bakarken bunu nası kapatabilirim @AppleSupport,@765176 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,standard,general_inquiry_features,false,,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
78,@AppleSupport Multiple,"@709714 Thanks. It sounds simple sometimes but in this case, it can be helpful to restart the iPhone. Have you tried that yet?  
https://t.co/OWRDHWSt4h",hard_short,general_inquiry_features,true,ambiguity_clarification,5,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
79,@AppleSupport I want to see recently used apps without double click home button. Is there any other way to see?See app with 3D touch function is deleted? https://t.co/NuwULPnw2f,"@753314 These are the current methods available. However, we're always open to feedback via: https://t.co/eTPVYVFyd8",hard_complex,hardware_and_audio,false,,4,"Physical hardware, screen, or audio problem | heuristic pre-label from scripts/label_golden_set.py",human_reviewed
80,@AppleSupport @115858 why in the hell is the new update still not allowing new emojis to be seen?!?!,@323104 Thank you for reaching out. May we ask which iOS version you're currently using?,hard_complex,software_update_os,false,,2,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
81,"yo, @115858.... FIX THIS I️ SHIT!!!! https://t.co/7FHZVHoQVj",@519353 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,edge_case,complaint_and_frustration,true,profanity_or_abuse,5,Customer venting dissatisfaction/frustration | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
82,@AppleSupport 7 plus. Version 11.0,@407891 Send us a DM and we can check on available options. https://t.co/GDrqU22YpT,hard_short,software_update_os,false,,4,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
83,@AppleSupport  thx apple https://t.co/3kUpOgE3oo,@536334 We appreciate you taking the time to reach out to us. We'd love to assist. Send us a DM including which country you're in. https://t.co/GDrqU22YpT,hard_short,general_inquiry_features,false,,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
84,"Trying to message her I love her and that I want her to call me. I’m worried she may hurt herself. WTF, @115858 https://t.co/H7yR5v60BO","@272912 Let’s look into this. To help isolate the issue, are you noticing this when the device is connected to a Wi-Fi network?",edge_case,general_inquiry_features,true,profanity_or_abuse,2,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
85,@AppleSupport Have to assume this is a bug in the latest iOS update. The letter “I” keeps replacing to A [?]. Is there a fix coming? https://t.co/3hPW4dfgBZ,@129978 DM us using the link below. We'll look into this with you from there. https://t.co/GDrqU22YpT,hard_complex,software_update_os,false,,4,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
86,My Mac restarted and deleted the 8 pages of homework I was working on so I'm just gonna make a plan to systematically destroy @115858 now,@603998 We want to look into your Mac more to see how we can prevent this from happening again. Meet us in DM please. https://t.co/GDrqU22YpT,standard,general_inquiry_features,false,,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
